model,K,train_length_days,eval_length_days,TE_annual,TE_annual_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference_oos,asset_active_share,sector_active_share,diversification,bench_diversification,execution_time
MIQP_Gurobi,175,756,63,0.0138234840579088,0.022945739628288525,-0.019327666451472436,-0.04069498614565792,0.021367319694185483,0.45508303855592214,0.10543608084537213,0.2798633680334805,0.09034232650304058,1.7845780849456787
Layered,175,756,63,0.014607080715525689,0.023775327964452163,-0.014460094897074782,-0.04069498614565792,0.026234891248583136,0.4580238429265612,0.052819586225839515,0.2876491025353255,0.09034232650304058,2.50610613822937
Stratified,200,756,63,0.01345106671728012,0.019117613269477,-0.015557866747806015,-0.04069498614565792,0.025137119397851904,0.3994951507063763,0.10398928774394237,0.2469977988333879,0.09034232650304058,1.090728998184204
Stratified_sector,200,756,63,0.014918216575780819,0.022251129332770493,-0.010230173241628782,-0.04069498614565792,0.030464812904029137,0.3929238476953178,0.03715893409147148,0.24785334185519314,0.09034232650304058,1.6641011238098145
MarketCap,200,756,63,0.013312639354259534,0.01898524165220005,-0.014986747244478127,-0.04069498614565792,0.025708238901179792,0.39755912419392964,0.10051379949543092,0.24774128515613927,0.09034232650304058,1.078228235244751
MarketCap_sector,200,756,63,0.014454917829641529,0.02130139122366886,-0.01178810825568044,-0.04069498614565792,0.028906877889977478,0.39466298266537864,0.038629992551734264,0.24912931326655408,0.09034232650304058,1.6239597797393799
Contribution,200,756,63,0.023948828329635477,0.028878287119920354,-0.025448794089336868,-0.04069498614565792,0.01524619205632105,0.5962512092394441,0.18667306710889955,0.15564078634400694,0.09034232650304058,1.0059905052185059
Contribution_sector,200,756,63,0.027097736615064833,0.030649707163126795,-0.022862119575907114,-0.04069498614565792,0.017832866569750805,0.6039057214427401,0.04772216547852231,0.1506838575649845,0.09034232650304058,1.7405812740325928
LASSO,200,756,63,0.01249606572300477,0.021115056743763277,-0.02725024772563822,-0.04069498614565792,0.013444738420019697,0.45377165529764607,0.10478735119810438,0.2421128947046449,0.09034232650304058,6.608020544052124
LASSO_sector,200,756,63,0.01423585074207541,0.02238711145824697,-0.024437263494300865,-0.04069498614565792,0.016257722651357054,0.4483399207444845,0.03520780262693636,0.2379057531799075,0.09034232650304058,7.258390426635742
